2015-04-09 10:47:44,831 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-09 10:47:45,206 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-09 10:47:45,862 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2015-04-09 10:47:45,971 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2015-04-09 10:47:46,081 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2015-04-09 10:47:46,518 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2015-04-09 10:58:31,902 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1134affc: startup date [Thu Apr 09 10:58:31 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-04-09 10:58:32,996 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2015-04-09 10:58:33,012 | INFO  | PListStore:C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2015-04-09 10:58:33,027 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:58:33,340 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:58:33,371 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:58:33,371 | INFO  | Recovery replayed 2 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:58:33,371 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:58:33,371 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
